state_name,county,entries
['AL'],['Bullock'],"[['4/17', 8], ['4/18', 9], ['4/19', 9], ['4/20', 11], ['4/21', 11], ['4/22', 11], ['4/23', 12], ['4/24', 12], ['4/25', 12], ['4/26', 12], ['4/27', 12], ['4/28', 12], ['4/29', 12], ['4/30', 13], ['5/1', 14], ['5/2', 14], ['5/3', 14], ['5/4', 16], ['5/5', 18], ['5/6', 18], ['5/7', 18], ['5/8', 21], ['5/9', 22], ['5/10', 23], ['5/11', 26], ['5/12', 26], ['5/13', 28], ['5/14', 28], ['5/15', 32], ['5/16', 35], ['5/17', 35], ['5/18', 40], ['5/19', 52], ['5/20', 64], ['5/21', 71], ['5/22', 89], ['5/23', 105], ['5/24', 111], ['5/25', 133], ['5/26', 167], ['5/27', 176], ['5/28', 183], ['5/29', 201], ['5/30', 203], ['5/31', 209], ['6/1', 209], ['6/2', 213], ['6/3', 215], ['6/4', 217], ['6/5', 219], ['6/6', 225], ['6/7', 232], ['6/8', 238], ['6/9', 243], ['6/10', 248], ['6/11', 253], ['6/12', 258], ['6/13', 276], ['6/14', 302], ['6/15', 305], ['6/16', 308]]"
['AL'],['Butler'],"[['4/17', 12], ['4/18', 13], ['4/19', 14], ['4/20', 14], ['4/21', 15], ['4/22', 17], ['4/23', 19], ['4/24', 21], ['4/25', 28], ['4/26', 32], ['4/27', 34], ['4/28', 45], ['4/29', 51], ['4/30', 53], ['5/1', 65], ['5/2', 92], ['5/3', 105], ['5/4', 114], ['5/5', 120], ['5/6', 130], ['5/7', 155], ['5/8', 162], ['5/9', 178], ['5/10', 189], ['5/11', 196], ['5/12', 224], ['5/13', 230], ['5/14', 249], ['5/15', 258], ['5/16', 271], ['5/17', 272], ['5/18', 285], ['5/19', 295], ['5/20', 312], ['5/21', 321], ['5/22', 329], ['5/23', 335], ['5/24', 344], ['5/25', 359], ['5/26', 380], ['5/27', 391], ['5/28', 392], ['5/29', 396], ['5/30', 402], ['5/31', 411], ['6/1', 414], ['6/2', 416], ['6/3', 419], ['6/4', 421], ['6/5', 431], ['6/6', 442], ['6/7', 449], ['6/8', 455], ['6/9', 464], ['6/10', 471], ['6/11', 484], ['6/12', 499], ['6/13', 517], ['6/14', 536], ['6/15', 541], ['6/16', 548]]"
['AL'],['Calhoun'],"[['4/17', 63], ['4/18', 66], ['4/19', 72], ['4/20', 80], ['4/21', 83], ['4/22', 85], ['4/23', 88], ['4/24', 89], ['4/25', 90], ['4/26', 90], ['4/27', 90], ['4/28', 92], ['4/29', 93], ['4/30', 93], ['5/1', 93], ['5/2', 98], ['5/3', 105], ['5/4', 105], ['5/5', 113], ['5/6', 114], ['5/7', 120], ['5/8', 123], ['5/9', 124], ['5/10', 124], ['5/11', 125], ['5/12', 126], ['5/13', 127], ['5/14', 128], ['5/15', 129], ['5/16', 130], ['5/17', 130], ['5/18', 133], ['5/19', 133], ['5/20', 136], ['5/21', 136], ['5/22', 137], ['5/23', 138], ['5/24', 141], ['5/25', 146], ['5/26', 150], ['5/27', 152], ['5/28', 152], ['5/29', 153], ['5/30', 154], ['5/31', 160], ['6/1', 164], ['6/2', 165], ['6/3', 165], ['6/4', 167], ['6/5', 169], ['6/6', 174], ['6/7', 176], ['6/8', 178], ['6/9', 180], ['6/10', 182], ['6/11', 184], ['6/12', 188], ['6/13', 190], ['6/14', 195], ['6/15', 196], ['6/16', 198]]"
['AL'],['Chambers'],"[['4/17', 236], ['4/18', 240], ['4/19', 246], ['4/20', 257], ['4/21', 259], ['4/22', 270], ['4/23', 275], ['4/24', 282], ['4/25', 284], ['4/26', 285], ['4/27', 288], ['4/28', 288], ['4/29', 288], ['4/30', 288], ['5/1', 290], ['5/2', 294], ['5/3', 300], ['5/4', 302], ['5/5', 304], ['5/6', 306], ['5/7', 308], ['5/8', 311], ['5/9', 314], ['5/10', 316], ['5/11', 319], ['5/12', 324], ['5/13', 324], ['5/14', 326], ['5/15', 326], ['5/16', 328], ['5/17', 328], ['5/18', 328], ['5/19', 328], ['5/20', 330], ['5/21', 330], ['5/22', 330], ['5/23', 330], ['5/24', 336], ['5/25', 336], ['5/26', 338], ['5/27', 340], ['5/28', 349], ['5/29', 352], ['5/30', 353], ['5/31', 355], ['6/1', 358], ['6/2', 358], ['6/3', 359], ['6/4', 360], ['6/5', 363], ['6/6', 373], ['6/7', 378], ['6/8', 383], ['6/9', 391], ['6/10', 401], ['6/11', 417], ['6/12', 427], ['6/13', 438], ['6/14', 453], ['6/15', 461], ['6/16', 471]]"
['AL'],['Cherokee'],"[['4/17', 11], ['4/18', 12], ['4/19', 12], ['4/20', 12], ['4/21', 12], ['4/22', 12], ['4/23', 12], ['4/24', 12], ['4/25', 12], ['4/26', 14], ['4/27', 14], ['4/28', 15], ['4/29', 15], ['4/30', 15], ['5/1', 15], ['5/2', 15], ['5/3', 16], ['5/4', 16], ['5/5', 17], ['5/6', 18], ['5/7', 18], ['5/8', 21], ['5/9', 22], ['5/10', 22], ['5/11', 24], ['5/12', 24], ['5/13', 24], ['5/14', 25], ['5/15', 26], ['5/16', 27], ['5/17', 27], ['5/18', 28], ['5/19', 29], ['5/20', 30], ['5/21', 31], ['5/22', 32], ['5/23', 32], ['5/24', 32], ['5/25', 33], ['5/26', 33], ['5/27', 33], ['5/28', 34], ['5/29', 36], ['5/30', 37], ['5/31', 37], ['6/1', 38], ['6/2', 38], ['6/3', 38], ['6/4', 38], ['6/5', 38], ['6/6', 40], ['6/7', 42], ['6/8', 42], ['6/9', 42], ['6/10', 42], ['6/11', 42], ['6/12', 46], ['6/13', 47], ['6/14', 51], ['6/15', 51], ['6/16', 51]]"
['AL'],['Chilton'],"[['4/17', 37], ['4/18', 39], ['4/19', 42], ['4/20', 43], ['4/21', 44], ['4/22', 46], ['4/23', 47], ['4/24', 49], ['4/25', 49], ['4/26', 51], ['4/27', 51], ['4/28', 52], ['4/29', 53], ['4/30', 52], ['5/1', 52], ['5/2', 54], ['5/3', 57], ['5/4', 58], ['5/5', 60], ['5/6', 61], ['5/7', 63], ['5/8', 63], ['5/9', 64], ['5/10', 65], ['5/11', 67], ['5/12', 69], ['5/13', 72], ['5/14', 74], ['5/15', 75], ['5/16', 77], ['5/17', 77], ['5/18', 79], ['5/19', 80], ['5/20', 83], ['5/21', 84], ['5/22', 85], ['5/23', 86], ['5/24', 87], ['5/25', 87], ['5/26', 90], ['5/27', 93], ['5/28', 97], ['5/29', 99], ['5/30', 99], ['5/31', 101], ['6/1', 103], ['6/2', 104], ['6/3', 105], ['6/4', 107], ['6/5', 108], ['6/6', 108], ['6/7', 110], ['6/8', 111], ['6/9', 117], ['6/10', 118], ['6/11', 121], ['6/12', 122], ['6/13', 128], ['6/14', 132], ['6/15', 135], ['6/16', 138]]"
['AL'],['Choctaw'],"[['4/17', 13], ['4/18', 14], ['4/19', 14], ['4/20', 17], ['4/21', 18], ['4/22', 21], ['4/23', 22], ['4/24', 25], ['4/25', 27], ['4/26', 32], ['4/27', 39], ['4/28', 39], ['4/29', 39], ['4/30', 43], ['5/1', 49], ['5/2', 49], ['5/3', 49], ['5/4', 51], ['5/5', 54], ['5/6', 54], ['5/7', 56], ['5/8', 59], ['5/9', 61], ['5/10', 66], ['5/11', 67], ['5/12', 69], ['5/13', 72], ['5/14', 77], ['5/15', 81], ['5/16', 84], ['5/17', 84], ['5/18', 85], ['5/19', 92], ['5/20', 129], ['5/21', 133], ['5/22', 135], ['5/23', 140], ['5/24', 141], ['5/25', 144], ['5/26', 147], ['5/27', 147], ['5/28', 148], ['5/29', 149], ['5/30', 151], ['5/31', 153], ['6/1', 153], ['6/2', 153], ['6/3', 153], ['6/4', 153], ['6/5', 153], ['6/6', 155], ['6/7', 155], ['6/8', 156], ['6/9', 157], ['6/10', 158], ['6/11', 162], ['6/12', 166], ['6/13', 167], ['6/14', 175], ['6/15', 175], ['6/16', 177]]"
['AL'],['Clarke'],"[['4/17', 24], ['4/18', 24], ['4/19', 24], ['4/20', 24], ['4/21', 24], ['4/22', 25], ['4/23', 24], ['4/24', 24], ['4/25', 25], ['4/26', 25], ['4/27', 27], ['4/28', 28], ['4/29', 31], ['4/30', 32], ['5/1', 34], ['5/2', 38], ['5/3', 42], ['5/4', 42], ['5/5', 43], ['5/6', 45], ['5/7', 50], ['5/8', 52], ['5/9', 52], ['5/10', 56], ['5/11', 63], ['5/12', 64], ['5/13', 65], ['5/14', 68], ['5/15', 70], ['5/16', 74], ['5/17', 74], ['5/18', 75], ['5/19', 81], ['5/20', 89], ['5/21', 91], ['5/22', 92], ['5/23', 97], ['5/24', 102], ['5/25', 109], ['5/26', 120], ['5/27', 128], ['5/28', 129], ['5/29', 134], ['5/30', 142], ['5/31', 144], ['6/1', 146], ['6/2', 148], ['6/3', 149], ['6/4', 149], ['6/5', 149], ['6/6', 151], ['6/7', 156], ['6/8', 158], ['6/9', 161], ['6/10', 163], ['6/11', 165], ['6/12', 175], ['6/13', 179], ['6/14', 188], ['6/15', 191], ['6/16', 194]]"
['AL'],['Clay'],"[['4/17', 14], ['4/18', 17], ['4/19', 18], ['4/20', 19], ['4/21', 19], ['4/22', 19], ['4/23', 19], ['4/24', 19], ['4/25', 19], ['4/26', 19], ['4/27', 19], ['4/28', 19], ['4/29', 21], ['4/30', 21], ['5/1', 21], ['5/2', 21], ['5/3', 22], ['5/4', 22], ['5/5', 24], ['5/6', 25], ['5/7', 25], ['5/8', 26], ['5/9', 26], ['5/10', 26], ['5/11', 27], ['5/12', 27], ['5/13', 27], ['5/14', 27], ['5/15', 27], ['5/16', 27], ['5/17', 27], ['5/18', 27], ['5/19', 27], ['5/20', 27], ['5/21', 27], ['5/22', 27], ['5/23', 27], ['5/24', 27], ['5/25', 27], ['5/26', 27], ['5/27', 27], ['5/28', 27], ['5/29', 27], ['5/30', 27], ['5/31', 27], ['6/1', 28], ['6/2', 28], ['6/3', 28], ['6/4', 28], ['6/5', 28], ['6/6', 29], ['6/7', 29], ['6/8', 29], ['6/9', 30], ['6/10', 30], ['6/11', 30], ['6/12', 30], ['6/13', 30], ['6/14', 30], ['6/15', 30], ['6/16', 30]]"
['AL'],['Cleburne'],"[['4/17', 12], ['4/18', 12], ['4/19', 12], ['4/20', 12], ['4/21', 12], ['4/22', 12], ['4/23', 12], ['4/24', 12], ['4/25', 12], ['4/26', 12], ['4/27', 12], ['4/28', 12], ['4/29', 12], ['4/30', 12], ['5/1', 12], ['5/2', 12], ['5/3', 12], ['5/4', 12], ['5/5', 13], ['5/6', 13], ['5/7', 13], ['5/8', 13], ['5/9', 13], ['5/10', 13], ['5/11', 13], ['5/12', 13], ['5/13', 13], ['5/14', 13], ['5/15', 13], ['5/16', 13], ['5/17', 13], ['5/18', 13], ['5/19', 13], ['5/20', 13], ['5/21', 13], ['5/22', 13], ['5/23', 13], ['5/24', 13], ['5/25', 13], ['5/26', 13], ['5/27', 13], ['5/28', 13], ['5/29', 14], ['5/30', 14], ['5/31', 15], ['6/1', 15], ['6/2', 15], ['6/3', 15], ['6/4', 15], ['6/5', 15], ['6/6', 15], ['6/7', 18], ['6/8', 19], ['6/9', 19], ['6/10', 19], ['6/11', 20], ['6/12', 20], ['6/13', 20], ['6/14', 21], ['6/15', 22], ['6/16', 22]]"
