state_name,county,entries
['AL'],['Jefferson'],"[['4/17', 24], ['4/18', 25], ['4/19', 25], ['4/20', 26], ['4/21', 26], ['4/22', 31], ['4/23', 32], ['4/24', 33], ['4/25', 33], ['4/26', 33], ['4/27', 36], ['4/28', 41], ['4/29', 44], ['4/30', 46], ['5/1', 48], ['5/2', 48], ['5/3', 48], ['5/4', 48], ['5/5', 49], ['5/6', 53], ['5/7', 57], ['5/8', 59], ['5/9', 60], ['5/10', 60], ['5/11', 61], ['5/12', 64], ['5/13', 64], ['5/14', 69], ['5/15', 71], ['5/16', 73], ['5/17', 74], ['5/18', 74], ['5/19', 78], ['5/20', 83], ['5/21', 85], ['5/22', 88], ['5/23', 88], ['5/24', 88], ['5/25', 91], ['5/26', 96], ['5/27', 97], ['5/28', 100], ['5/29', 102], ['5/30', 102], ['5/31', 102], ['6/1', 103], ['6/2', 103], ['6/3', 103], ['6/4', 104], ['6/5', 105], ['6/6', 105], ['6/7', 106], ['6/8', 109], ['6/9', 110], ['6/10', 112], ['6/11', 113], ['6/12', 117], ['6/13', 117], ['6/14', 117], ['6/15', 117], ['6/16', 118]]"
['AL'],['Lauderdale'],"[['4/17', 2], ['4/18', 2], ['4/19', 2], ['4/20', 2], ['4/21', 2], ['4/22', 2], ['4/23', 2], ['4/24', 2], ['4/25', 2], ['4/26', 2], ['4/27', 2], ['4/28', 2], ['4/29', 2], ['4/30', 2], ['5/1', 2], ['5/2', 2], ['5/3', 2], ['5/4', 2], ['5/5', 2], ['5/6', 2], ['5/7', 2], ['5/8', 2], ['5/9', 2], ['5/10', 2], ['5/11', 2], ['5/12', 2], ['5/13', 2], ['5/14', 2], ['5/15', 2], ['5/16', 2], ['5/17', 2], ['5/18', 2], ['5/19', 2], ['5/20', 2], ['5/21', 2], ['5/22', 2], ['5/23', 2], ['5/24', 2], ['5/25', 2], ['5/26', 2], ['5/27', 2], ['5/28', 2], ['5/29', 2], ['5/30', 2], ['5/31', 2], ['6/1', 2], ['6/2', 2], ['6/3', 2], ['6/4', 2], ['6/5', 2], ['6/6', 2], ['6/7', 2], ['6/8', 3], ['6/9', 3], ['6/10', 3], ['6/11', 3], ['6/12', 3], ['6/13', 3], ['6/14', 3], ['6/15', 3], ['6/16', 4]]"
['AL'],['Lee'],"[['4/17', 13], ['4/18', 14], ['4/19', 14], ['4/20', 15], ['4/21', 19], ['4/22', 21], ['4/23', 21], ['4/24', 22], ['4/25', 23], ['4/26', 24], ['4/27', 24], ['4/28', 25], ['4/29', 28], ['4/30', 29], ['5/1', 28], ['5/2', 28], ['5/3', 28], ['5/4', 28], ['5/5', 28], ['5/6', 29], ['5/7', 30], ['5/8', 30], ['5/9', 30], ['5/10', 30], ['5/11', 30], ['5/12', 30], ['5/13', 30], ['5/14', 30], ['5/15', 31], ['5/16', 31], ['5/17', 31], ['5/18', 31], ['5/19', 31], ['5/20', 32], ['5/21', 32], ['5/22', 32], ['5/23', 32], ['5/24', 32], ['5/25', 32], ['5/26', 32], ['5/27', 32], ['5/28', 32], ['5/29', 32], ['5/30', 33], ['5/31', 33], ['6/1', 33], ['6/2', 34], ['6/3', 34], ['6/4', 34], ['6/5', 34], ['6/6', 34], ['6/7', 34], ['6/8', 34], ['6/9', 34], ['6/10', 35], ['6/11', 35], ['6/12', 35], ['6/13', 35], ['6/14', 35], ['6/15', 35], ['6/16', 35]]"
['AL'],['Macon'],"[['4/17', 2], ['4/18', 2], ['4/19', 2], ['4/20', 2], ['4/21', 2], ['4/22', 2], ['4/23', 2], ['4/24', 2], ['4/25', 2], ['4/26', 2], ['4/27', 2], ['4/28', 2], ['4/29', 2], ['4/30', 2], ['5/1', 2], ['5/2', 2], ['5/3', 2], ['5/4', 2], ['5/5', 2], ['5/6', 2], ['5/7', 2], ['5/8', 2], ['5/9', 2], ['5/10', 2], ['5/11', 2], ['5/12', 2], ['5/13', 2], ['5/14', 2], ['5/15', 2], ['5/16', 2], ['5/17', 2], ['5/18', 2], ['5/19', 2], ['5/20', 2], ['5/21', 2], ['5/22', 2], ['5/23', 2], ['5/24', 2], ['5/25', 2], ['5/26', 2], ['5/27', 2], ['5/28', 2], ['5/29', 3], ['5/30', 4], ['5/31', 4], ['6/1', 4], ['6/2', 4], ['6/3', 4], ['6/4', 4], ['6/5', 4], ['6/6', 5], ['6/7', 5], ['6/8', 5], ['6/9', 5], ['6/10', 5], ['6/11', 5], ['6/12', 5], ['6/13', 6], ['6/14', 6], ['6/15', 6], ['6/16', 6]]"
['AL'],['Madison'],"[['4/17', 4], ['4/18', 4], ['4/19', 4], ['4/20', 4], ['4/21', 4], ['4/22', 4], ['4/23', 4], ['4/24', 4], ['4/25', 4], ['4/26', 4], ['4/27', 4], ['4/28', 4], ['4/29', 4], ['4/30', 4], ['5/1', 4], ['5/2', 4], ['5/3', 4], ['5/4', 4], ['5/5', 4], ['5/6', 4], ['5/7', 4], ['5/8', 4], ['5/9', 4], ['5/10', 4], ['5/11', 4], ['5/12', 4], ['5/13', 4], ['5/14', 4], ['5/15', 4], ['5/16', 4], ['5/17', 4], ['5/18', 4], ['5/19', 4], ['5/20', 4], ['5/21', 4], ['5/22', 4], ['5/23', 4], ['5/24', 4], ['5/25', 4], ['5/26', 4], ['5/27', 4], ['5/28', 4], ['5/29', 4], ['5/30', 4], ['5/31', 4], ['6/1', 4], ['6/2', 4], ['6/3', 4], ['6/4', 4], ['6/5', 4], ['6/6', 5], ['6/7', 5], ['6/8', 5], ['6/9', 5], ['6/10', 5], ['6/11', 5], ['6/12', 5], ['6/13', 5], ['6/14', 5], ['6/15', 5], ['6/16', 6]]"
['AL'],['Marengo'],"[['4/17', 1], ['4/18', 1], ['4/19', 1], ['4/20', 2], ['4/21', 2], ['4/22', 3], ['4/23', 3], ['4/24', 3], ['4/25', 3], ['4/26', 3], ['4/27', 3], ['4/28', 3], ['4/29', 3], ['4/30', 3], ['5/1', 3], ['5/2', 3], ['5/3', 3], ['5/4', 3], ['5/5', 3], ['5/6', 3], ['5/7', 3], ['5/8', 4], ['5/9', 4], ['5/10', 4], ['5/11', 4], ['5/12', 5], ['5/13', 5], ['5/14', 5], ['5/15', 6], ['5/16', 6], ['5/17', 6], ['5/18', 6], ['5/19', 6], ['5/20', 6], ['5/21', 6], ['5/22', 6], ['5/23', 6], ['5/24', 6], ['5/25', 6], ['5/26', 6], ['5/27', 6], ['5/28', 6], ['5/29', 6], ['5/30', 6], ['5/31', 6], ['6/1', 6], ['6/2', 6], ['6/3', 6], ['6/4', 6], ['6/5', 6], ['6/6', 6], ['6/7', 6], ['6/8', 6], ['6/9', 6], ['6/10', 7], ['6/11', 7], ['6/12', 9], ['6/13', 9], ['6/14', 9], ['6/15', 9], ['6/16', 9]]"
['AL'],['Marion'],"[['4/17', 5], ['4/18', 5], ['4/19', 5], ['4/20', 5], ['4/21', 5], ['4/22', 5], ['4/23', 5], ['4/24', 5], ['4/25', 5], ['4/26', 5], ['4/27', 6], ['4/28', 6], ['4/29', 6], ['4/30', 6], ['5/1', 6], ['5/2', 6], ['5/3', 6], ['5/4', 6], ['5/5', 7], ['5/6', 7], ['5/7', 7], ['5/8', 7], ['5/9', 7], ['5/10', 7], ['5/11', 7], ['5/12', 8], ['5/13', 9], ['5/14', 9], ['5/15', 9], ['5/16', 9], ['5/17', 9], ['5/18', 9], ['5/19', 9], ['5/20', 10], ['5/21', 10], ['5/22', 10], ['5/23', 10], ['5/24', 10], ['5/25', 10], ['5/26', 11], ['5/27', 11], ['5/28', 11], ['5/29', 11], ['5/30', 11], ['5/31', 11], ['6/1', 11], ['6/2', 11], ['6/3', 11], ['6/4', 11], ['6/5', 11], ['6/6', 11], ['6/7', 11], ['6/8', 11], ['6/9', 11], ['6/10', 12], ['6/11', 12], ['6/12', 12], ['6/13', 12], ['6/14', 12], ['6/15', 12], ['6/16', 12]]"
['AL'],['Marshall'],"[['4/17', 3], ['4/18', 3], ['4/19', 3], ['4/20', 3], ['4/21', 4], ['4/22', 4], ['4/23', 4], ['4/24', 4], ['4/25', 5], ['4/26', 5], ['4/27', 5], ['4/28', 6], ['4/29', 6], ['4/30', 6], ['5/1', 7], ['5/2', 7], ['5/3', 7], ['5/4', 7], ['5/5', 8], ['5/6', 8], ['5/7', 8], ['5/8', 8], ['5/9', 8], ['5/10', 8], ['5/11', 8], ['5/12', 8], ['5/13', 9], ['5/14', 9], ['5/15', 9], ['5/16', 9], ['5/17', 9], ['5/18', 9], ['5/19', 9], ['5/20', 9], ['5/21', 9], ['5/22', 9], ['5/23', 9], ['5/24', 9], ['5/25', 9], ['5/26', 9], ['5/27', 9], ['5/28', 9], ['5/29', 9], ['5/30', 9], ['5/31', 9], ['6/1', 9], ['6/2', 9], ['6/3', 9], ['6/4', 9], ['6/5', 9], ['6/6', 9], ['6/7', 9], ['6/8', 9], ['6/9', 9], ['6/10', 9], ['6/11', 9], ['6/12', 9], ['6/13', 9], ['6/14', 9], ['6/15', 9], ['6/16', 9]]"
['AL'],['Mobile'],"[['4/17', 25], ['4/18', 25], ['4/19', 29], ['4/20', 33], ['4/21', 38], ['4/22', 39], ['4/23', 39], ['4/24', 40], ['4/25', 40], ['4/26', 41], ['4/27', 43], ['4/28', 46], ['4/29', 53], ['4/30', 55], ['5/1', 61], ['5/2', 61], ['5/3', 62], ['5/4', 66], ['5/5', 71], ['5/6', 76], ['5/7', 78], ['5/8', 81], ['5/9', 83], ['5/10', 85], ['5/11', 90], ['5/12', 95], ['5/13', 96], ['5/14', 98], ['5/15', 100], ['5/16', 100], ['5/17', 101], ['5/18', 101], ['5/19', 103], ['5/20', 106], ['5/21', 107], ['5/22', 107], ['5/23', 109], ['5/24', 109], ['5/25', 111], ['5/26', 112], ['5/27', 112], ['5/28', 112], ['5/29', 114], ['5/30', 115], ['5/31', 116], ['6/1', 118], ['6/2', 118], ['6/3', 118], ['6/4', 118], ['6/5', 123], ['6/6', 124], ['6/7', 124], ['6/8', 124], ['6/9', 126], ['6/10', 127], ['6/11', 128], ['6/12', 129], ['6/13', 129], ['6/14', 129], ['6/15', 129], ['6/16', 129]]"
['AL'],['Monroe'],"[['4/17', 0], ['4/18', 0], ['4/19', 1], ['4/20', 0], ['4/21', 0], ['4/22', 1], ['4/23', 1], ['4/24', 1], ['4/25', 1], ['4/26', 1], ['4/27', 1], ['4/28', 1], ['4/29', 1], ['4/30', 1], ['5/1', 1], ['5/2', 1], ['5/3', 1], ['5/4', 1], ['5/5', 1], ['5/6', 1], ['5/7', 1], ['5/8', 1], ['5/9', 1], ['5/10', 1], ['5/11', 1], ['5/12', 1], ['5/13', 2], ['5/14', 2], ['5/15', 2], ['5/16', 2], ['5/17', 2], ['5/18', 2], ['5/19', 2], ['5/20', 2], ['5/21', 2], ['5/22', 2], ['5/23', 2], ['5/24', 2], ['5/25', 2], ['5/26', 2], ['5/27', 2], ['5/28', 2], ['5/29', 2], ['5/30', 2], ['5/31', 2], ['6/1', 2], ['6/2', 2], ['6/3', 2], ['6/4', 2], ['6/5', 2], ['6/6', 2], ['6/7', 2], ['6/8', 2], ['6/9', 2], ['6/10', 2], ['6/11', 2], ['6/12', 2], ['6/13', 2], ['6/14', 2], ['6/15', 2], ['6/16', 2]]"
