id,name,active,confinement,latitude,longitude,hospitalized,total,recovered,intensive_care,tests,deaths
1,Berat,2,2,40.71000700,19.94577900,0,4,2,0,148,0
2,Dibër,1,1,41.59991200,20.26165100,0,1,0,0,25,0
3,Durrës,91,84,41.33054100,19.46326500,6,144,47,1,794,6
4,Elbasan,3,2,41.11456500,20.08415200,1,18,15,0,363,0
5,Fier,5,4,40.72902000,19.56091000,1,45,37,0,634,3
6,Gjirokastër,0,0,40.07869700,20.13633000,0,0,0,0,332,0
7,Korçe,1,0,40.61812600,20.77752800,1,19,18,0,233,0
8,Kukës,9,8,42.07545200,20.42317600,1,36,26,0,369,1
9,Lezhë,33,32,41.78537300,19.64099400,1,50,17,0,423,0
10,Shkodër,37,28,42.06776800,19.51425000,6,113,75,3,835,1
11,Tiranë,99,87,41.33278100,19.81696400,8,331,214,4,3471,18
12,Vlorë,0,0,40.46778700,19.48373700,0,5,4,0,401,1
