id,name,active,confinement,latitude,longitude,hospitalized,total,recovered,intensive_care,tests,deaths
1,Berat,2,2,40.71000700,19.94577900,0,4,2,0,167,0
2,Dibër,0,0,41.59991200,20.26165100,0,1,1,0,31,0
3,Durrës,82,69,41.33054100,19.46326500,12,163,75,1,1042,6
4,Elbasan,3,3,41.11456500,20.08415200,0,20,17,0,412,0
5,Fier,0,0,40.72902000,19.56091000,0,45,42,0,723,3
6,Gjirokastër,0,0,40.07869700,20.13633000,0,0,0,0,393,0
7,Korçe,1,1,40.61812600,20.77752800,0,19,18,0,243,0
8,Kukës,2,1,42.07545200,20.42317600,1,37,34,0,405,1
9,Lezhë,12,11,41.78537300,19.64099400,1,52,40,0,486,0
10,Shkodër,15,8,42.06776800,19.51425000,5,115,98,2,968,2
11,Tiranë,102,86,41.33278100,19.81696400,11,359,239,5,3933,18
12,Vlorë,0,0,40.46778700,19.48373700,0,5,4,0,473,1
