id,name,active,confinement,latitude,longitude,hospitalized,total,recovered,intensive_care,tests,deaths
1,Berat,2,2,40.71000700,19.94577900,0,4,2,0,181,0
2,Dibër,0,0,41.59991200,20.26165100,0,1,1,0,34,0
3,Durrës,70,56,41.33054100,19.46326500,13,169,93,1,1158,6
4,Elbasan,3,3,41.11456500,20.08415200,0,20,17,0,460,0
5,Fier,3,2,40.72902000,19.56091000,1,48,42,0,764,3
6,Gjirokastër,0,0,40.07869700,20.13633000,0,0,0,0,410,0
7,Korçe,1,1,40.61812600,20.77752800,0,19,18,0,243,0
8,Kukës,1,1,42.07545200,20.42317600,0,37,35,0,411,1
9,Lezhë,7,6,41.78537300,19.64099400,1,52,45,0,517,0
10,Shkodër,16,11,42.06776800,19.51425000,3,119,101,2,1019,2
11,Tiranë,103,86,41.33278100,19.81696400,13,368,247,4,4119,18
12,Vlorë,0,0,40.46778700,19.48373700,0,5,4,0,490,1
