id,name,active,confinement,latitude,longitude,hospitalized,total,recovered,intensive_care,tests,deaths
1,Berat,0,0,40.71000700,19.94577900,0,14,14,0,496,0
2,Dibër,9,9,41.59991200,20.26165100,0,10,1,0,71,0
3,Durrës,34,26,41.33054100,19.46326500,5,266,226,3,2335,6
4,Elbasan,1,0,41.11456500,20.08415200,1,21,20,0,628,0
5,Fier,5,4,40.72902000,19.56091000,0,60,52,1,1324,3
6,Gjirokastër,0,0,40.07869700,20.13633000,0,0,0,0,698,0
7,Korçe,1,1,40.61812600,20.77752800,0,19,18,0,314,0
8,Kukës,2,0,42.07545200,20.42317600,2,39,36,0,418,1
9,Lezhë,1,0,41.78537300,19.64099400,1,53,52,0,896,0
10,Shkodër,29,28,42.06776800,19.51425000,1,145,114,0,1481,2
11,Tiranë,223,196,41.33278100,19.81696400,25,667,423,2,7308,21
12,Vlorë,0,0,40.46778700,19.48373700,0,5,4,0,747,1
