id,name,active,confinement,latitude,longitude,hospitalized,total,recovered,intensive_care,tests,deaths
1,Berat,1,1,40.71000700,19.94577900,0,4,3,0,184,0
2,Dibër,0,0,41.59991200,20.26165100,0,1,1,0,35,0
3,Durrës,59,50,41.33054100,19.46326500,8,175,110,1,1287,6
4,Elbasan,3,3,41.11456500,20.08415200,0,20,17,0,481,0
5,Fier,5,2,40.72902000,19.56091000,3,50,42,0,845,3
6,Gjirokastër,0,0,40.07869700,20.13633000,0,0,0,0,444,0
7,Korçe,1,1,40.61812600,20.77752800,0,19,18,0,247,0
8,Kukës,1,1,42.07545200,20.42317600,0,37,35,0,412,1
9,Lezhë,4,4,41.78537300,19.64099400,0,52,48,0,548,0
10,Shkodër,16,13,42.06776800,19.51425000,2,120,102,1,1047,2
11,Tiranë,97,83,41.33278100,19.81696400,12,385,270,2,4398,18
12,Vlorë,0,0,40.46778700,19.48373700,0,5,4,0,510,1
