id,name,active,confinement,latitude,longitude,hospitalized,total,recovered,intensive_care,tests,deaths
1,Berat,0,0,40.71000700,19.94577900,0,2,2,0,96,0
2,Dibër,0,0,41.59991200,20.26165100,0,0,0,0,15,0
3,Durrës,56,47,41.33054100,19.46326500,6,100,40,3,569,4
4,Elbasan,4,3,41.11456500,20.08415200,1,18,14,0,260,0
5,Fier,14,14,40.72902000,19.56091000,0,43,26,0,476,3
6,Gjirokastër,0,0,40.07869700,20.13633000,0,0,0,0,204,0
7,Korçe,1,0,40.61812600,20.77752800,1,19,18,0,210,0
8,Kukës,11,8,42.07545200,20.42317600,2,28,16,1,243,1
9,Lezhë,28,26,41.78537300,19.64099400,2,45,17,0,321,0
10,Shkodër,62,48,42.06776800,19.51425000,12,105,42,2,662,1
11,Tiranë,75,65,41.33278100,19.81696400,8,269,177,2,2915,17
12,Vlorë,0,0,40.46778700,19.48373700,0,5,4,0,298,1
