id,name,active,confinement,latitude,longitude,hospitalized,total,recovered,intensive_care,tests,deaths
1,Berat,1,1,40.71000700,19.94577900,0,3,2,0,117,0
2,Dibër,1,1,41.59991200,20.26165100,0,1,0,0,25,0
3,Durrës,87,76,41.33054100,19.46326500,9,134,43,2,705,4
4,Elbasan,3,2,41.11456500,20.08415200,1,18,15,0,326,0
5,Fier,11,10,40.72902000,19.56091000,1,45,31,0,563,3
6,Gjirokastër,0,0,40.07869700,20.13633000,0,0,0,0,280,0
7,Korçe,1,0,40.61812600,20.77752800,1,19,18,0,232,0
8,Kukës,9,8,42.07545200,20.42317600,1,36,26,0,312,1
9,Lezhë,33,32,41.78537300,19.64099400,1,50,17,0,405,0
10,Shkodër,49,38,42.06776800,19.51425000,9,109,59,2,739,1
11,Tiranë,93,84,41.33278100,19.81696400,7,306,195,2,3221,18
12,Vlorë,0,0,40.46778700,19.48373700,0,5,4,0,354,1
