lat,lon,cases,deaths,recovered,DayStart,DayEnd,placetype,adm0,adm1,adm2,adm3,indiv,source,geometry
33.93911,67.709953,2171,64.0,260.0,20200430,20200430,adm0,Afghanistan,,,,,1,POINT (67.709953 33.93911)
33.93911,67.709953,2335,68.0,310.0,20200501,20200501,adm0,Afghanistan,,,,,1,POINT (67.709953 33.93911)
33.93911,67.709953,2469,72.0,331.0,20200502,20200502,adm0,Afghanistan,,,,,1,POINT (67.709953 33.93911)
33.93911,67.709953,2704,85.0,345.0,20200503,20200503,adm0,Afghanistan,,,,,1,POINT (67.709953 33.93911)
33.93911,67.709953,2894,90.0,397.0,20200504,20200504,adm0,Afghanistan,,,,,1,POINT (67.709953 33.93911)
33.93911,67.709953,3224,95.0,421.0,20200505,20200505,adm0,Afghanistan,,,,,1,POINT (67.709953 33.93911)
33.93911,67.709953,3392,104.0,458.0,20200506,20200506,adm0,Afghanistan,,,,,1,POINT (67.709953 33.93911)
33.93911,67.709953,3563,106.0,468.0,20200507,20200507,adm0,Afghanistan,,,,,1,POINT (67.709953 33.93911)
33.93911,67.709953,3778,109.0,472.0,20200508,20200508,adm0,Afghanistan,,,,,1,POINT (67.709953 33.93911)
33.93911,67.709953,4033,115.0,502.0,20200509,20200509,adm0,Afghanistan,,,,,1,POINT (67.709953 33.93911)
33.93911,67.709953,4402,120.0,558.0,20200510,20200510,adm0,Afghanistan,,,,,1,POINT (67.709953 33.93911)
33.93911,67.709953,4687,122.0,558.0,20200511,20200511,adm0,Afghanistan,,,,,1,POINT (67.709953 33.93911)
33.93911,67.709953,4963,127.0,610.0,20200512,20200512,adm0,Afghanistan,,,,,1,POINT (67.709953 33.93911)
33.93911,67.709953,5226,132.0,648.0,20200513,20200513,adm0,Afghanistan,,,,,1,POINT (67.709953 33.93911)
33.93911,67.709953,5639,136.0,691.0,20200514,20200514,adm0,Afghanistan,,,,,1,POINT (67.709953 33.93911)
33.93911,67.709953,6053,153.0,745.0,20200515,20200515,adm0,Afghanistan,,,,,1,POINT (67.709953 33.93911)
33.93911,67.709953,6402,168.0,745.0,20200516,20200516,adm0,Afghanistan,,,,,1,POINT (67.709953 33.93911)
33.93911,67.709953,6664,169.0,778.0,20200517,20200517,adm0,Afghanistan,,,,,1,POINT (67.709953 33.93911)
33.93911,67.709953,7072,173.0,801.0,20200518,20200518,adm0,Afghanistan,,,,,1,POINT (67.709953 33.93911)
33.93911,67.709953,7653,178.0,850.0,20200519,20200519,adm0,Afghanistan,,,,,1,POINT (67.709953 33.93911)
33.93911,67.709953,8145,187.0,930.0,20200520,20200520,adm0,Afghanistan,,,,,1,POINT (67.709953 33.93911)
33.93911,67.709953,8676,193.0,938.0,20200521,20200521,adm0,Afghanistan,,,,,1,POINT (67.709953 33.93911)
33.93911,67.709953,9216,205.0,996.0,20200522,20200522,adm0,Afghanistan,,,,,1,POINT (67.709953 33.93911)
33.93911,67.709953,9998,216.0,1040.0,20200523,20200523,adm0,Afghanistan,,,,,1,POINT (67.709953 33.93911)
33.93911,67.709953,10582,218.0,1075.0,20200524,20200524,adm0,Afghanistan,,,,,1,POINT (67.709953 33.93911)
33.93911,67.709953,11173,219.0,1097.0,20200525,20200525,adm0,Afghanistan,,,,,1,POINT (67.709953 33.93911)
33.93911,67.709953,11831,220.0,1128.0,20200526,20200526,adm0,Afghanistan,,,,,1,POINT (67.709953 33.93911)
33.93911,67.709953,12456,227.0,1138.0,20200527,20200527,adm0,Afghanistan,,,,,1,POINT (67.709953 33.93911)
33.93911,67.709953,13036,235.0,1209.0,20200528,20200528,adm0,Afghanistan,,,,,1,POINT (67.709953 33.93911)
33.93911,67.709953,13659,246.0,1259.0,20200529,20200529,adm0,Afghanistan,,,,,1,POINT (67.709953 33.93911)
33.93911,67.709953,14525,249.0,1303.0,20200530,20200530,adm0,Afghanistan,,,,,1,POINT (67.709953 33.93911)
33.93911,67.709953,15205,257.0,1328.0,20200531,20200531,adm0,Afghanistan,,,,,1,POINT (67.709953 33.93911)
33.93911,67.709953,15750,265.0,1428.0,20200601,20200601,adm0,Afghanistan,,,,,1,POINT (67.709953 33.93911)
33.93911,67.709953,16509,270.0,1450.0,20200602,20200602,adm0,Afghanistan,,,,,1,POINT (67.709953 33.93911)
33.93911,67.709953,17267,294.0,1522.0,20200603,20200603,adm0,Afghanistan,,,,,1,POINT (67.709953 33.93911)
33.93911,67.709953,18054,300.0,1585.0,20200604,20200604,adm0,Afghanistan,,,,,1,POINT (67.709953 33.93911)
33.93911,67.709953,18969,309.0,1762.0,20200605,20200605,adm0,Afghanistan,,,,,1,POINT (67.709953 33.93911)
33.93911,67.709953,19551,327.0,1830.0,20200606,20200606,adm0,Afghanistan,,,,,1,POINT (67.709953 33.93911)
33.93911,67.709953,20342,357.0,1875.0,20200607,20200607,adm0,Afghanistan,,,,,1,POINT (67.709953 33.93911)
33.93911,67.709953,20917,369.0,2171.0,20200608,20200608,adm0,Afghanistan,,,,,1,POINT (67.709953 33.93911)
33.93911,67.709953,21459,384.0,2651.0,20200609,20200609,adm0,Afghanistan,,,,,1,POINT (67.709953 33.93911)
33.93911,67.709953,22142,405.0,3013.0,20200610,20200610,adm0,Afghanistan,,,,,1,POINT (67.709953 33.93911)
33.93911,67.709953,22890,426.0,3326.0,20200611,20200611,adm0,Afghanistan,,,,,1,POINT (67.709953 33.93911)
33.93911,67.709953,23546,446.0,3928.0,20200612,20200612,adm0,Afghanistan,,,,,1,POINT (67.709953 33.93911)
33.93911,67.709953,24102,451.0,4201.0,20200613,20200613,adm0,Afghanistan,,,,,1,POINT (67.709953 33.93911)
33.93911,67.709953,24766,471.0,4725.0,20200614,20200614,adm0,Afghanistan,,,,,1,POINT (67.709953 33.93911)
33.93911,67.709953,25527,478.0,5164.0,20200615,20200615,adm0,Afghanistan,,,,,1,POINT (67.709953 33.93911)
33.93911,67.709953,26310,491.0,5508.0,20200616,20200616,adm0,Afghanistan,,,,,1,POINT (67.709953 33.93911)
33.93911,67.709953,26874,504.0,6158.0,20200617,20200617,adm0,Afghanistan,,,,,1,POINT (67.709953 33.93911)
33.93911,67.709953,27532,546.0,7660.0,20200618,20200618,adm0,Afghanistan,,,,,1,POINT (67.709953 33.93911)
33.93911,67.709953,27878,548.0,7962.0,20200619,20200619,adm0,Afghanistan,,,,,1,POINT (67.709953 33.93911)
33.93911,67.709953,28424,569.0,8292.0,20200620,20200620,adm0,Afghanistan,,,,,1,POINT (67.709953 33.93911)
33.93911,67.709953,28833,581.0,8764.0,20200621,20200621,adm0,Afghanistan,,,,,1,POINT (67.709953 33.93911)
33.93911,67.709953,29157,598.0,8841.0,20200622,20200622,adm0,Afghanistan,,,,,1,POINT (67.709953 33.93911)
33.93911,67.709953,29481,618.0,9260.0,20200623,20200623,adm0,Afghanistan,,,,,1,POINT (67.709953 33.93911)
33.93911,67.709953,29640,639.0,9869.0,20200624,20200624,adm0,Afghanistan,,,,,1,POINT (67.709953 33.93911)
33.93911,67.709953,30175,675.0,10174.0,20200625,20200625,adm0,Afghanistan,,,,,1,POINT (67.709953 33.93911)
33.93911,67.709953,30451,683.0,10306.0,20200626,20200626,adm0,Afghanistan,,,,,1,POINT (67.709953 33.93911)
33.93911,67.709953,30616,703.0,10674.0,20200627,20200627,adm0,Afghanistan,,,,,1,POINT (67.709953 33.93911)
33.93911,67.709953,30967,721.0,12604.0,20200628,20200628,adm0,Afghanistan,,,,,1,POINT (67.709953 33.93911)
33.93911,67.709953,31238,733.0,13934.0,20200629,20200629,adm0,Afghanistan,,,,,1,POINT (67.709953 33.93911)
33.93911,67.709953,31517,746.0,14131.0,20200630,20200630,adm0,Afghanistan,,,,,1,POINT (67.709953 33.93911)
33.93911,67.709953,31836,774.0,15651.0,20200701,20200701,adm0,Afghanistan,,,,,1,POINT (67.709953 33.93911)
33.93911,67.709953,32022,807.0,16041.0,20200702,20200702,adm0,Afghanistan,,,,,1,POINT (67.709953 33.93911)
33.93911,67.709953,32324,819.0,17331.0,20200703,20200703,adm0,Afghanistan,,,,,1,POINT (67.709953 33.93911)
33.93911,67.709953,32672,826.0,19164.0,20200704,20200704,adm0,Afghanistan,,,,,1,POINT (67.709953 33.93911)
33.93911,67.709953,32951,864.0,19366.0,20200705,20200705,adm0,Afghanistan,,,,,1,POINT (67.709953 33.93911)
33.93911,67.709953,33190,898.0,20103.0,20200706,20200706,adm0,Afghanistan,,,,,1,POINT (67.709953 33.93911)
33.93911,67.709953,33384,920.0,20179.0,20200707,20200707,adm0,Afghanistan,,,,,1,POINT (67.709953 33.93911)
