lat,lon,cases,deaths,recovered,DayStart,DayEnd,placetype,adm0,adm1,adm2,adm3,indiv,source,geometry
-11.629482000000001,-69.96024,13,,,20201002,20250101,adm3,Peru,TAHUAMANU,,INAPARI,,4,POINT (-69.96024 -11.629482)
6.8856,-72.19,3,,,20201002,20250101,adm3,Colombia,Boyaca,,Cubara,,4,POINT (-72.19 6.8856)
50.00972,8.25833,1,,,20201002,20250101,adm3,Germany,Rheinland-Pfalz,,Neustadt a.d.Weinstrasze,,4,POINT (8.258330000000001 50.00972)
-10.0079,-76.3185,2,,,20201002,20250101,adm3,Peru,Huanuco,,SAN FRANCISCO DE CAYRAN,,4,POINT (-76.3185 -10.0079)
24.65,85.5,9,,,20201002,20250101,adm3,India,Bihar,,Rajauli,,4,POINT (85.5 24.65)
53.61666999999999,12.7,79,,,20201002,20250101,adm3,Germany,Mecklenburg-Vorpommern,,Nordwestmecklenburg,,4,POINT (12.7 53.61666999999999)
9.802986,76.615078,1,,,20201002,20250101,adm3,India,Kerala,,Uzhavoor,,4,POINT (76.615078 9.802986000000001)
14.956702652970002,75.78913875835791,1,,,20201002,20250101,adm3,India,Karnataka,,Nawanagar,,4,POINT (75.78913875835791 14.95670265297)
-16.4865,-71.4664,2,,,20201002,20250101,adm3,Peru,Arequipa,,MOLLEBAYA,,4,POINT (-71.46639999999999 -16.4865)
25.01,85.63,1,,,20201002,20250101,adm3,India,Bihar,,Warsaliganj,,4,POINT (85.63 25.01)
24.772783999999998,86.343757,3,,,20201002,20250101,adm3,India,Bihar,,Hathua,,4,POINT (86.343757 24.772784)
30.73528,76.79111,2,,,20201002,20250101,adm3,India,Chandigarh,,Bapudham Colony,,4,POINT (76.79111 30.73528)
9.63333,123.48333000000001,1,,,20201002,20250101,adm3,Philippines,Cebu Province,,Boljoon,,4,POINT (123.48333 9.633330000000001)
25.541071,84.872415,3,,,20201002,20250101,adm3,India,Bihar,,Kharagpur,,4,POINT (84.872415 25.541071)
26.208338,84.673855,1,,,20201002,20250101,adm3,India,Bihar,,Surajpura,,4,POINT (84.673855 26.208338)
25.656566,86.044602,1,,,20201002,20250101,adm3,India,Bihar,,Khdawandpur,,4,POINT (86.044602 25.656566)
25.776645585489998,86.1889788390678,1,,,20201002,20250101,adm3,India,Bihar,,Khshroopur,,4,POINT (86.1889788390678 25.77664558549)
25.681224,88.014199,1,,,20201002,20250101,adm3,India,Bihar,,Brahampur,,4,POINT (88.014199 25.681224)
-10.1510925136244,-75.3111319559783,1,,,20201002,20250101,adm3,Peru,MANU,,MANU,,4,POINT (-75.3111319559783 -10.1510925136244)
-12.0017,-75.3647,1,,,20201002,20250101,adm3,Peru,Concepcion,,MANZAnaRES,,4,POINT (-75.3647 -12.0017)
48.76194,8.24083,181,,,20201002,20250101,adm3,Germany,Baden-Wurttemberg,,Baden-Baden,,4,POINT (8.240830000000001 48.76194)
13.5,120.95416999999999,1,,,20201002,20250101,adm3,Philippines,Oriental Mindoro,,Puerto Galera,,4,POINT (120.95417 13.5)
25.219526000000002,84.27208900000002,1,,,20201002,20250101,adm3,India,Bihar,,Bikramganij,,4,POINT (84.27208900000002 25.219526)
26.205924,87.004671,1,,,20201002,20250101,adm3,India,Bihar,,Chhatapur,,4,POINT (87.004671 26.205924)
-4.4775,-72.0331,26,,,20201002,20250101,adm3,Peru,MARISCAL RAMON Castilla,,YAVARI,,4,POINT (-72.0331 -4.4775)
26.641869,83.024525,1,,,20201002,20250101,adm3,India,Bihar,,Nathnagar,,4,POINT (83.024525 26.641869)
25.625352,85.32909599999998,1,,,20201002,20250101,adm3,India,Bihar,,Nawanagar,,4,POINT (85.32909599999998 25.625352)
25.776645585489998,86.1889788390678,1,,,20201002,20250101,adm3,India,Bihar,,Paru,,4,POINT (86.1889788390678 25.77664558549)
-16.4794,-72.6341,3,,,20201002,20250101,adm3,Peru,Camana,,NICOLAS DE PIEROLA,,4,POINT (-72.6341 -16.4794)
25.776645585489998,86.1889788390678,1,,,20201002,20250101,adm3,India,Bihar,,Pachdeori,,4,POINT (86.1889788390678 25.77664558549)
25.776645585489998,86.1889788390678,1,,,20201002,20250101,adm3,India,Bihar,,Pithphorwa,,4,POINT (86.1889788390678 25.77664558549)
18.160270903489998,79.01477601609591,1,,,20201002,20250101,adm3,India,Telangana,,Moosa Bowli,,4,POINT (79.01477601609591 18.16027090349)
30.692142999999998,76.83718499999998,1,,,20201002,20250101,adm3,India,Chandigarh,,Sector 16,,4,POINT (76.83718499999998 30.692143)
27.108,84.464,1,,,20201002,20250101,adm3,India,Bihar,,Narkatiyaganj,,4,POINT (84.464 27.108)
16.4621,120.5877,9,,,20201002,20250101,adm3,Philippines,Benguet,,La Trinidad,,4,POINT (120.5877 16.4621)
10.6667,122.0167,1,,,20201002,20250101,adm3,Philippines,Antique,,Hamtic,,4,POINT (122.0167 10.6667)
18.160270903489998,79.01477601609591,1,,,20201002,20250101,adm3,India,Telangana,,Jiyaguda,,4,POINT (79.01477601609591 18.16027090349)
