id,name,active,confinement,latitude,longitude,hospitalized,total,recovered,intensive_care,tests,deaths
1,Berat,2,2,40.71000700,19.94577900,0,16,14,0,541,0
2,Dibër,0,0,41.59991200,20.26165100,0,10,10,0,92,0
3,Durrës,59,51,41.33054100,19.46326500,6,299,233,2,2439,7
4,Elbasan,5,4,41.11456500,20.08415200,1,25,20,0,662,0
5,Fier,10,7,40.72902000,19.56091000,3,68,54,0,1416,4
6,Gjirokastër,1,0,40.07869700,20.13633000,1,1,0,0,719,0
7,Korçe,1,1,40.61812600,20.77752800,0,19,18,0,320,0
8,Kukës,2,1,42.07545200,20.42317600,1,39,36,0,418,1
9,Lezhë,3,2,41.78537300,19.64099400,1,55,52,0,935,0
10,Shkodër,54,45,42.06776800,19.51425000,8,172,116,1,1618,2
11,Tiranë,246,218,41.33278100,19.81696400,24,749,482,4,7947,21
12,Vlorë,6,6,40.46778700,19.48373700,0,11,4,0,781,1
