id,name,active,confinement,latitude,longitude,hospitalized,total,recovered,intensive_care,tests,deaths
1,Berat,2,2,40.71000700,19.94577900,0,4,2,0,167,0
2,Dibër,1,1,41.59991200,20.26165100,0,1,0,0,27,0
3,Durrës,89,79,41.33054100,19.46326500,9,153,58,1,895,6
4,Elbasan,2,1,41.11456500,20.08415200,1,18,16,0,369,0
5,Fier,2,2,40.72902000,19.56091000,0,45,40,0,678,3
6,Gjirokastër,0,0,40.07869700,20.13633000,0,0,0,0,367,0
7,Korçe,1,1,40.61812600,20.77752800,0,19,18,0,239,0
8,Kukës,5,4,42.07545200,20.42317600,1,37,31,0,392,1
9,Lezhë,27,26,41.78537300,19.64099400,1,51,24,0,449,0
10,Shkodër,20,13,42.06776800,19.51425000,5,115,93,2,918,2
11,Tiranë,90,79,41.33278100,19.81696400,7,341,233,4,3709,18
12,Vlorë,0,0,40.46778700,19.48373700,0,5,4,0,459,1
