id,name,active,confinement,latitude,longitude,hospitalized,total,recovered,intensive_care,tests,deaths
1,Berat,10,10,40.71000700,19.94577900,0,14,4,0,413,0
2,Dibër,0,0,41.59991200,20.26165100,0,1,1,0,36,0
3,Durrës,76,72,41.33054100,19.46326500,4,213,131,0,1709,6
4,Elbasan,2,1,41.11456500,20.08415200,0,20,18,1,514,0
5,Fier,4,1,40.72902000,19.56091000,3,50,43,0,972,3
6,Gjirokastër,0,0,40.07869700,20.13633000,0,0,0,0,516,0
7,Korçe,1,0,40.61812600,20.77752800,1,19,18,0,259,0
8,Kukës,0,0,42.07545200,20.42317600,0,37,36,0,414,1
9,Lezhë,2,1,41.78537300,19.64099400,1,52,50,0,666,0
10,Shkodër,15,14,42.06776800,19.51425000,0,121,104,1,1151,2
11,Tiranë,90,84,41.33278100,19.81696400,5,414,306,1,4810,18
12,Vlorë,0,0,40.46778700,19.48373700,0,5,4,0,564,1
