id,name,active,confinement,latitude,longitude,hospitalized,total,recovered,intensive_care,tests,deaths
1,Berat,2,2,40.71000700,19.94577900,0,16,14,0,519,0
2,Dibër,9,9,41.59991200,20.26165100,0,10,1,0,79,0
3,Durrës,48,38,41.33054100,19.46326500,7,283,229,3,2400,6
4,Elbasan,2,1,41.11456500,20.08415200,1,22,20,0,645,0
5,Fier,6,3,40.72902000,19.56091000,3,64,54,0,1356,4
6,Gjirokastër,0,0,40.07869700,20.13633000,0,0,0,0,701,0
7,Korçe,1,1,40.61812600,20.77752800,0,19,18,0,316,0
8,Kukës,2,0,42.07545200,20.42317600,2,39,36,0,418,1
9,Lezhë,1,0,41.78537300,19.64099400,1,53,52,0,910,0
10,Shkodër,43,35,42.06776800,19.51425000,8,159,114,0,1568,2
11,Tiranë,234,207,41.33278100,19.81696400,22,714,459,5,7637,21
12,Vlorë,1,1,40.46778700,19.48373700,0,6,4,0,769,1
