id,name,active,confinement,latitude,longitude,hospitalized,total,recovered,intensive_care,tests,deaths
1,Berat,2,2,40.71000700,19.94577900,0,4,2,0,155,0
2,Dibër,1,1,41.59991200,20.26165100,0,1,0,0,25,0
3,Durrës,92,82,41.33054100,19.46326500,9,147,49,1,823,6
4,Elbasan,3,2,41.11456500,20.08415200,1,18,15,0,367,0
5,Fier,5,4,40.72902000,19.56091000,1,45,37,0,653,3
6,Gjirokastër,0,0,40.07869700,20.13633000,0,0,0,0,343,0
7,Korçe,0,0,40.61812600,20.77752800,0,19,19,0,235,0
8,Kukës,9,8,42.07545200,20.42317600,1,36,26,0,373,1
9,Lezhë,30,29,41.78537300,19.64099400,1,50,20,0,431,0
10,Shkodër,35,26,42.06776800,19.51425000,7,115,78,2,867,2
11,Tiranë,95,82,41.33278100,19.81696400,9,333,220,4,3560,18
12,Vlorë,0,0,40.46778700,19.48373700,0,5,4,0,421,1
